index	begin	open	end	close
0	0	0	0	5
1	0	5	0	7
2	0	7	0	12
3	0	12	0	14
4	0	14	0	16
5	0	16	0	19
6	0	19	0	21
7	0	21	0	25
8	0	25	0	29
9	0	29	0	31
10	0	31	0	36
11	0	36	0	38
12	0	38	0	42
13	0	42	0	46
14	0	46	0	48
15	0	48	0	54
16	0	54	0	56
17	0	56	0	60
18	0	60	0	63
19	0	63	0	65
20	1	0	1	4
21	1	4	1	8
22	1	8	1	10
23	1	10	1	14
24	1	14	1	20
25	1	20	1	22
26	1	22	1	28
27	1	28	1	30
28	1	30	1	34
29	1	34	1	36
30	1	36	1	41
31	1	41	1	43
32	1	43	1	47
33	1	47	1	51
34	1	51	1	53
35	1	53	1	59
36	1	59	1	61
37	1	61	1	64
38	1	64	1	69
39	1	69	1	71
40	1	71	1	75
41	1	75	1	77
42	1	77	1	79
43	1	79	1	82
44	1	82	1	84
45	1	84	1	86
46	1	86	1	88
47	1	88	1	92
48	1	92	1	94
49	2	0	2	4
50	2	4	2	6
51	2	6	2	10
52	2	10	2	12
53	2	12	2	17
54	2	17	2	19
55	2	19	2	24
56	2	24	2	27
57	2	27	2	29
58	2	29	2	33
59	2	33	2	35
60	2	35	2	40
61	2	40	2	42
62	2	42	2	44
63	2	44	2	48
64	2	48	2	52
65	2	52	2	54
66	2	54	2	58
67	2	58	2	62
68	2	62	2	64
69	2	64	2	66
70	2	66	2	70
71	2	70	2	72
72	2	72	2	76
73	2	76	2	78
74	2	78	2	81
75	2	81	2	85
76	2	85	2	87
77	2	87	2	93
78	2	93	2	95
79	3	0	3	3
80	3	3	3	8
81	3	8	3	10
82	3	10	3	13
83	3	13	3	17
84	3	17	3	19
85	3	19	3	24
86	3	24	3	26
87	3	26	3	32
88	3	32	3	34
89	3	34	3	37
90	3	37	3	40
91	3	40	3	44
92	3	44	3	46
93	3	46	3	48
94	3	48	3	52
95	3	52	3	54
96	3	54	3	57
97	3	57	3	60
98	3	60	3	62
99	3	62	3	65
100	3	65	3	69
101	3	69	3	71
102	3	71	3	74
103	3	74	3	77
104	3	77	3	79
105	3	79	3	82
106	3	82	3	85
107	3	85	3	87
108	3	87	3	92
109	3	92	3	94
110	4	0	4	6
111	4	6	4	8
112	4	8	4	12
113	4	12	4	14
114	4	14	4	16
115	4	16	4	19
116	4	19	4	21
117	4	21	4	24
118	4	24	4	28
119	4	28	4	30
120	4	30	4	35
121	4	35	4	37
122	4	37	4	40
123	4	40	4	42
124	4	42	4	46
125	4	46	4	51
126	4	51	4	53
127	4	53	4	56
128	4	56	4	58
129	4	58	4	64
130	4	64	4	67
131	4	67	4	69
132	4	69	4	73
133	4	73	4	75
134	4	75	4	79
135	4	79	4	84
136	4	84	4	86
137	4	86	4	89
138	4	89	4	94
139	4	94	4	96
140	4	96	4	101
141	4	101	4	103
142	5	0	5	5
143	5	5	5	7
144	5	7	5	10
145	5	10	5	14
146	5	14	5	16
147	5	16	5	20
148	5	20	5	23
149	5	23	5	26
150	5	26	5	28
151	5	28	5	33
152	5	33	5	36
153	5	36	5	39
154	5	39	5	41
155	5	41	5	43
156	5	43	5	47
157	5	47	5	49
158	5	49	5	51
159	5	51	5	56
160	5	56	5	58
161	5	58	5	62
162	5	62	5	64
163	5	64	5	68
164	5	68	5	72
165	5	72	5	75
166	5	75	5	77
167	5	77	5	80
168	5	80	5	81
169	5	81	5	83
170	5	83	5	86
171	5	86	5	91
172	5	91	5	93
173	5	93	5	98
174	5	98	5	103
175	5	103	5	105
176	5	105	5	110
177	5	110	5	113
178	5	113	5	117
179	5	117	5	119
180	6	0	6	5
181	6	5	6	7
182	6	7	6	12
183	6	12	6	15
184	6	15	6	17
185	6	17	6	22
186	6	22	6	24
187	6	24	6	28
188	6	28	6	30
189	6	30	6	35
190	6	35	6	37
191	6	37	6	41
192	6	41	6	43
193	6	43	6	48
194	6	48	6	50
195	6	50	6	55
196	6	55	6	57
197	6	57	6	61
198	6	61	6	63
199	6	63	6	66
200	6	66	6	67
201	6	67	6	72
202	6	72	6	74
203	6	74	6	79
204	6	79	6	81
205	6	81	6	85
206	6	85	6	87
207	6	87	6	89
208	6	89	6	90
209	6	90	6	93
210	6	93	6	95
211	6	95	6	99
212	6	99	6	104
213	6	104	6	106
214	6	106	6	109
215	6	109	6	113
216	6	113	6	115
217	6	115	6	120
218	6	120	6	122
219	6	122	6	126
220	6	126	6	128
